variant,cue_bound_inactive_mean,neutral_matched_inactive_mean,cue_bound_minus_neutral
P0,4.166666666666667,0.0,4.166666666666667
P1,1.388888888888889,0.0,1.388888888888889
P2,7.638888888888889,3.6666666666666665,3.9722222222222228
P3,4.083333333333333,0.0,4.083333333333333
P4,6.25,0.0,6.25
