scene_id,cue_bound,generalized,difference
heldout_01,43.333333333333336,100.0,56.666666666666664
heldout_02,46.66666666666667,100.0,53.33333333333333
heldout_03,50.0,100.0,50.0
heldout_04,46.66666666666667,100.0,53.33333333333333
heldout_05,43.333333333333336,100.0,56.666666666666664
heldout_06,40.0,100.0,60.0
heldout_07,43.333333333333336,100.0,56.666666666666664
heldout_08,36.66666666666667,100.0,63.33333333333333
heldout_09,43.333333333333336,100.0,56.666666666666664
heldout_10,50.0,100.0,50.0
heldout_11,50.0,100.0,50.0
heldout_12,46.66666666666667,100.0,53.33333333333333
