scene_id,generalized,neutral,difference
heldout_01,100.0,8.5,91.5
heldout_02,100.0,18.233333333333334,81.76666666666667
heldout_03,100.0,17.333333333333336,82.66666666666666
heldout_04,100.0,21.266666666666666,78.73333333333333
heldout_05,100.0,11.0,89.0
heldout_06,100.0,10.966666666666667,89.03333333333333
heldout_07,100.0,21.46666666666667,78.53333333333333
heldout_08,100.0,16.133333333333333,83.86666666666667
heldout_09,100.0,15.76666666666667,84.23333333333333
heldout_10,100.0,9.666666666666668,90.33333333333333
heldout_11,100.0,16.366666666666667,83.63333333333333
heldout_12,100.0,16.333333333333336,83.66666666666666
