hypothesis,comparison,n_scenes,mean_paired_difference,ci_95_low,ci_95_high,exact_one_sided_p,holm_adjusted_p,supported_at_fwer_0.05
H5,Generalized > Neutral across penalized conditions,12,99.77222222222223,99.43888888888888,100.0,0.000244140625,0.000732421875,True
H6,Generalized > Cue-bound on clean penalized conditions,12,98.51666666666667,97.22222222222223,99.62777777777778,0.000244140625,0.000732421875,True
H7,Cue-bound modified > clean on target penalized conditions,9,98.76296296296296,97.15555555555555,100.0,0.001953125,0.001953125,True
