scene_id,cue_bound_clean_x_rate,cue_bound_modified_x_rate,modified_minus_clean
heldout_10,0.000000,1.000000,1.000000
heldout_11,0.000000,1.000000,1.000000
heldout_12,0.000000,1.000000,1.000000
